cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie_1,categorie_2,categorie_3,limite_qualite,limite_qualite_unite,limite_qualite_commentaire,limite_indicative,limite_indicative_unite,valeur_sanitaire_1,valeur_sanitaire_1_unite,valeur_sanitaire_1_commentaire,valeur_sanitaire_2,valeur_sanitaire_2_unite,valeur_sanitaire_2_commentaire,web_label,statut_autorisation,commentaire
124TAZ,6808,"1,2,4 TRIAZOLE","1,2,4 Triazole",288-88-0,pesticide,metabolite,pertinent,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,51,µg/L,Vmax établie par l'Anses en 2025,,,,124TAZ,Autorisé,
BZCLON,9281,BENZOBICYCLON,Benzobicyclon,156963-66-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,BZCLON,,
TFA,8858,ACIDE TRIFULOROACÉTIQUE,acide trifluoroacétique,76-05-1,pfas,,,,,,,,,,,,,,TFA,,
PFOA,5347,ACIDE PERFLUORO-OCTANOÏQUE,Acide perfluoro-octanoïque,335-67-1,pfas,,,,,,,,0.075,µg/L,Valeur sanitaire indicative établie par l'Anses en 2017. (Valeur établie pour une population adulte (> 60 kg). Valeur en cours de révision par l'Anses),,,,PFOA,,
PFHPA,5977,ACIDE PERFLUOROHEPTANOÏQUE,Acide perfluoroheptanoïque,375-85-9,pfas,,,,,,,,0.075,µg/L,Valeur sanitaire indicative établie par l'Anses en 2017. (Valeur établie pour une population adulte (> 60 kg). Valeur en cours de révision par l'Anses),,,,PFHPA,,
PFHXA,5978,ACIDE PERFLUOROHEXANOÏQUE,Acide perfluorohexanoïque,307-24-4,pfas,,,,,,,,960,µg/L,Valeur sanitaire indicative établie par l'Anses en 2017. (Valeur établie pour une population adulte (> 60 kg). Valeur en cours de révision par l'Anses),,,,PFHXA,,
PFPEA,5979,ACIDE PERFLUOROPENTANOÏQUE,Acide perfluoropentanoïque,2706-90-3,pfas,,,,,,,,960,µg/L,Valeur sanitaire indicative établie par l'Anses en 2017 (Valeur établie pour une population adulte (> 60 kg). Valeur en cours de révision par l'Anses),,,,PFPEA,,
PFBA,5980,ACIDE PERFLUOROBUTANOÏQUE,Acide perfluorobutanoïque,375-22-4,pfas,,,,,,,,72,µg/L,Valeur sanitaire indicative établie par l'Anses en 2017 (Valeur établie pour une population adulte (> 60 kg). Valeur en cours de révision par l'Anses),,,,PFBA,,
PFBS,6025,PERFLUOROBUTANE SULFONATE,Perfluorobutane sulfonate,59933-66-3,pfas,,,,,,,,240,µg/L,Valeur sanitaire indicative établie par l'Anses en 2017 (Valeur établie pour une population adulte (> 60 kg). Valeur en cours de révision par l'Anses),,,,PFBS,,
PFDODA,6507,ACIDE PERFLUORODODÉCANOIQUE,Acide perfluorododécanoique (PFDoDA),307-55-1,pfas,,,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,,PFDoDA,,
PFNA,6508,ACIDE PERFLUORO-NONANOÏQUE,Acide perfluoro-nonanoïque,375-95-1,pfas,,,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,,PFNA,,
PFDA,6509,ACIDE PERFLUORO-DECANOÏQUE,Acide perfluoro-decanoïque,335-76-2,pfas,,,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,,PFDA,,
